City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,guardo,42.7897,-4.8482,10.36,93,70,3.21,ES,1684813015
148,kununurra,-15.7667,128.7333,26.99,29,0,4.63,AU,1684812728
149,ust-nera,64.5667,143.2,4.28,84,98,1.32,RU,1684813015
150,colares,38.7992,-9.4469,17.09,84,79,7.15,PT,1684813015
151,fortaleza,-3.7227,-38.5247,27.9,89,40,7.72,BR,1684813016
152,margaret river,-33.95,115.0667,20.76,72,77,8.92,AU,1684813016
153,kutum,14.2,24.6667,25.45,13,4,4.66,SD,1684813016
154,pucallpa,-8.3791,-74.5539,26.02,100,40,1.54,PE,1684813016
155,ushuaia,-54.8,-68.3,5.81,45,0,3.6,AR,1684813016
156,kaoma,-14.7833,24.8,13.96,65,44,2.72,ZM,1684813017
157,san juan del cesar,10.7711,-73.0031,24.53,91,68,1.06,CO,1684813017
158,reggane,26.7158,0.1714,22.58,16,82,4.32,DZ,1684813017
159,susuman,62.7833,148.1667,8.22,48,100,3.69,RU,1684813017
160,praia da vitoria,38.7333,-27.0667,15.42,100,40,5.08,PT,1684813017
161,luganville,-15.5333,167.1667,25.82,88,100,5.38,VU,1684813018
162,vorkuta,67.5,64.0,7.28,83,85,2.87,RU,1684813018
163,callao,-12.0667,-77.15,23.18,73,100,5.14,PE,1684812696
164,minas de marcona,-15.2119,-75.1103,13.93,89,75,4.49,PE,1684813018
165,ulanhot,46.0833,122.0833,26.46,15,4,3.94,CN,1684813019
166,bermeo,43.4209,-2.7215,17.36,90,100,7.39,ES,1684813019
167,ocean shores,46.9737,-124.1563,13.0,79,100,4.63,US,1684813019
168,visakhapatnam,17.69,83.2093,29.94,74,75,1.03,IN,1684813019
169,vila velha,-20.3297,-40.2925,21.08,94,75,1.54,BR,1684813020
170,vilyuchinsk,52.9306,158.4028,4.15,92,100,4.3,RU,1684813020
171,cidreira,-30.1811,-50.2056,16.29,85,1,0.78,BR,1684813020
172,port mathurin,-19.6833,63.4167,25.04,73,7,4.63,MU,1684813020
173,hasaki,35.7333,140.8333,14.56,89,100,12.47,JP,1684813021
